experiment,accuracy,precision_0,precision_1,recall_0,recall_1,fscore_0,fscore_1DECISION_TREE-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7877094972067039,0.8220338983050848,0.7213114754098361,0.8508771929824561,0.676923076923077,0.8362068965517241,0.6984126984126984
DECISION_TREE-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7877094972067039,0.8220338983050848,0.7213114754098361,0.8508771929824561,0.676923076923077,0.8362068965517241,0.6984126984126984
SVM-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7653631284916201,0.7903225806451613,0.7090909090909091,0.8596491228070176,0.6,0.823529411764706,0.65
NAIVE_BAYES-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range-passenger_survived,0.7821229050279329,0.8260869565217391,0.703125,0.8333333333333334,0.6923076923076923,0.8296943231441049,0.6976744186046512
DECISION_TREE-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7094972067039106,0.7184466019417476,0.6973684210526315,0.7628865979381443,0.6463414634146342,0.74,0.6708860759493671
SVM-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7486033519553073,0.7407407407407407,0.7605633802816901,0.8247422680412371,0.6585365853658537,0.7804878048780487,0.7058823529411764
NAIVE_BAYES-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range-passenger_survived,0.7932960893854749,0.8125,0.7710843373493976,0.8041237113402062,0.7804878048780488,0.8082901554404145,0.7757575757575758
LOGISTIC_REGRESSION-lr=0.01-reg=1e-09Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.770949720670391,0.8484848484848485,0.675,0.7636363636363637,0.782608695652174,0.8038277511961722,0.7248322147651006
SVM-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7877094972067039,0.8050847457627118,0.7540983606557377,0.8636363636363636,0.6666666666666666,0.8333333333333333,0.7076923076923076
SVM-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7877094972067039,0.8050847457627118,0.7540983606557377,0.8636363636363636,0.6666666666666666,0.8333333333333333,0.7076923076923076
DECISION_TREE-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7597765363128491,0.7913043478260869,0.703125,0.8272727272727273,0.6521739130434783,0.808888888888889,0.6766917293233083
NAIVE_BAYES-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range-passenger_survived,0.8044692737430168,0.8440366972477065,0.7428571428571429,0.8363636363636363,0.7536231884057971,0.8401826484018265,0.748201438848921
NAIVE_BAYES-Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range-passenger_survived,0.8044692737430168,0.8440366972477065,0.7428571428571429,0.8363636363636363,0.7536231884057971,0.8401826484018265,0.748201438848921
LOGISTIC_REGRESSION-lr=0.01-reg=1e-09Age-SibSp-Parch-Embarked-Fare-passenger_class-passenger_sex-total_family-with_family-age_range-fare_range,0.7597765363128491,0.808695652173913,0.671875,0.8157894736842105,0.6615384615384615,0.812227074235808,0.6666666666666667
